symbol,sample,region,age,log2_rpkm,pc1,mean_rpkm,mean_nl_residuals
NUP93,HSB154,IPC,112,4.06297253358803,2.0284257134885704,4.09565224610737,3.78510063172243
NUP93,HSB154,ITC,112,4.54360680335587,2.79700452869668,4.09565224610737,4.26573490149027
NUP93,HSB154,MFC,112,4.3081139339493,0.444456492467492,4.09565224610737,4.0302420320837005
NUP93,HSB154,STC,112,3.99253768985717,0.18186962466214898,4.09565224610737,3.7146657879915694
NUP93,HSB154,V1,112,4.36317318017171,0.34286980422210805,4.09565224610737,4.08530127830611
NUP93,HSB154,VLPFC,112,4.47143747117284,0.597562123840126,4.09565224610737,4.19356556930724
NUP93,HSB155,DLPFC,245,3.87500465183018,1.1882166584793201,4.09565224610737,4.09220034378035
NUP93,HSB155,IPC,245,3.49761377063277,2.0284257134885704,4.09565224610737,3.7148094625829398
NUP93,HSB155,ITC,245,4.746423275643121,2.79700452869668,4.09565224610737,4.96361896759329
NUP93,HSB155,M1,245,3.30695399722316,-2.3847810426672598,4.09565224610737,3.52414968917333
NUP93,HSB155,MFC,245,3.40962622899701,0.444456492467492,4.09565224610737,3.6268219209471804
NUP93,HSB155,OFC,245,4.485234111461691,1.82268099129458,4.09565224610737,4.70242980341186
NUP93,HSB155,S1,245,3.5375238234454303,-3.38016871629282,4.09565224610737,3.7547195153956
NUP93,HSB155,VLPFC,245,3.9593307895293397,0.597562123840126,4.09565224610737,4.17652648147951
NUP93,HSB159,A1C,154,4.69663564734671,-3.6381361781909503,4.09565224610737,4.0676626849605295
NUP93,HSB159,DLPFC,154,4.98884518050796,1.1882166584793201,4.09565224610737,4.3598722181217795
NUP93,HSB159,IPC,154,4.61536956429879,2.0284257134885704,4.09565224610737,3.98639660191261
NUP93,HSB159,ITC,154,4.65444837289162,2.79700452869668,4.09565224610737,4.02547541050544
NUP93,HSB159,M1,154,4.58013299950843,-2.3847810426672598,4.09565224610737,3.9511600371222504
NUP93,HSB159,MFC,154,4.97606397500207,0.444456492467492,4.09565224610737,4.3470910126158895
NUP93,HSB159,OFC,154,4.98884518050796,1.82268099129458,4.09565224610737,4.3598722181217795
NUP93,HSB159,S1,154,4.35322383776865,-3.38016871629282,4.09565224610737,3.7242508753824706
NUP93,HSB159,STC,154,4.73745730706733,0.18186962466214898,4.09565224610737,4.10848434468115
NUP93,HSB159,V1,154,4.9853646247777,0.34286980422210805,4.09565224610737,4.35639166239152
NUP93,HSB159,VLPFC,154,4.98884518050796,0.597562123840126,4.09565224610737,4.3598722181217795
NUP93,HSB178,A1C,112,3.73256736908426,-3.6381361781909503,4.09565224610737,3.60011802802926
NUP93,HSB178,DLPFC,112,4.46372053376471,1.1882166584793201,4.09565224610737,4.33127119270971
NUP93,HSB178,IPC,112,3.86165716973975,2.0284257134885704,4.09565224610737,3.7292078286847503
NUP93,HSB178,ITC,112,4.959409389988821,2.79700452869668,4.09565224610737,4.82696004893382
NUP93,HSB178,M1,112,3.8230173329228596,-2.3847810426672598,4.09565224610737,3.69056799186786
NUP93,HSB178,MFC,112,4.355499243687141,0.444456492467492,4.09565224610737,4.22304990263214
NUP93,HSB178,OFC,112,4.98884518050796,1.82268099129458,4.09565224610737,4.85639583945296
NUP93,HSB178,S1,112,3.85373282526182,-3.38016871629282,4.09565224610737,3.7212834842068196
NUP93,HSB178,STC,112,3.94662887614702,0.18186962466214898,4.09565224610737,3.8141795350920202
NUP93,HSB178,V1,112,3.66892854094696,0.34286980422210805,4.09565224610737,3.5364791998919602
NUP93,HSB178,VLPFC,112,4.2116482568346,0.597562123840126,4.09565224610737,4.0791989157796005
NUP93,HSB194,A1C,259,3.7943886238514,-3.6381361781909503,4.09565224610737,3.8908394586403596
NUP93,HSB194,DLPFC,259,4.4465409024471505,1.1882166584793201,4.09565224610737,4.54299173723611
NUP93,HSB194,IPC,259,4.040445792183751,2.0284257134885704,4.09565224610737,4.13689662697271
NUP93,HSB194,ITC,259,4.3129924870668,2.79700452869668,4.09565224610737,4.409443321855759
NUP93,HSB194,M1,259,3.31807369599833,-2.3847810426672598,4.09565224610737,3.4145245307872902
NUP93,HSB194,MFC,259,3.98110289624955,0.444456492467492,4.09565224610737,4.07755373103851
NUP93,HSB194,OFC,259,4.4046573854084805,1.82268099129458,4.09565224610737,4.50110822019744
NUP93,HSB194,S1,259,3.68604024805573,-3.38016871629282,4.09565224610737,3.78249108284469
NUP93,HSB194,STC,259,4.00869976722969,0.18186962466214898,4.09565224610737,4.10515060201865
NUP93,HSB194,V1,259,4.01539506917959,0.34286980422210805,4.09565224610737,4.1118459039685495
NUP93,HSB194,VLPFC,259,4.147269979607399,0.597562123840126,4.09565224610737,4.24372081439636
NUP93,HSB92,DLPFC,147,4.551891131090191,1.1882166584793201,4.09565224610737,4.20031959886533
NUP93,HSB92,IPC,147,4.35961189824977,2.0284257134885704,4.09565224610737,4.00804036602491
NUP93,HSB92,ITC,147,4.4097761012669805,2.79700452869668,4.09565224610737,4.05820456904212
NUP93,HSB92,M1,147,4.25857733986391,-2.3847810426672598,4.09565224610737,3.9070058076390497
NUP93,HSB92,MFC,147,4.623574033386349,0.444456492467492,4.09565224610737,4.27200250116149
NUP93,HSB92,OFC,147,4.84518587367535,1.82268099129458,4.09565224610737,4.49361434145049
