gene,cluster,study,cluster_study,class,timing
FAT1,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
HERC1,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
IPO5,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
LRRC3B,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
MRPL57,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
PAIP1,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
POLR2D,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
PSMA2,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
RFX4,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
TCEA1P2,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
TOB2,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
TULP3,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
ACADM,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
ADK,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
BAZ1A,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
CENPU,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
DHFR,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
GMNN,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
HDLBP,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
JAM3,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
LINC00925,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
MFAP2,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
MIDN,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
MLLT3,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
MRPL51,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
NR2F1,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
NUP62,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
PHF10,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
POLD3,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
POLR2G,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
SCAF8,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
SPIRE1,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
WASF2,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
YWHAG,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
JPX,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
AC009245.3,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
ACAA2,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
ALDH7A1,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
ATAD5,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
BRCA2,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
CA12,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
CENPC,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
CHEK1,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
CKAP2,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
DNER,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
FOSB,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
GNAI2,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
HAUS6,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
HIST1H1E,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
MIB1,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
MSN,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
MTHFD1,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
NFIX,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
POLR2L,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
RAB3GAP2,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
RTN1,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
SIPA1L1,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
SMARCAD1,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
SNX3,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
SPCS2P4,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
TOP2A,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
WBP4,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
WDR76,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
ZIC2,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
ZNF706,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
ROMO1,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
ATP6V0E1,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
CALU,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
COL4A5,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
DFFA,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
FAM19A5,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
LITAF,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
RIN2,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
RNF19A,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
ZNF397,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
ESF1,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
MYEOV2,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
CPNE1,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
ATP2B4,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
ATXN7,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
ITGA2,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
LDLR,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
NUFIP2,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
PREX2,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
RAB14,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
REST,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
SGSM2,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
SMAD5,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
SNRPEP4,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
SNX5,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
TBC1D1,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
TMED10,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
VDAC1,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
RP11.889L3.1,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
DPYSL5,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
BICC1,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
DHCR24,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
DUT,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
IARS,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
LYRM2,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
MAT2B,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
NFE2L2,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
NUP107,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
PDIA6,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
STON2,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
TECR,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
TMCO1,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
USP1,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
ACP1,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
B3GAT2,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
ENC1,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
HNRNPM,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
KPNA2,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
MOXD1,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
NDUFA1,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
NEDD9,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
PRDX5,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
PSMB2,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
RAB8B,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
RP11.556K13.1,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
SEZ6L,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
SLC16A1,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
TMEM97,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
TNC,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
ATP5H,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
ANKRD32,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
ATXN10,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
BCCIP,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
CCT5,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
CS,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
CSMD2,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
FAM161A,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
LRRC58,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
MOB3B,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
NLGN4X,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
NTRK3,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
PCNA,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
PCNXL4,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
PDIA4,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
PHLPP1,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
PRPF38A,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
RBM23,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
RHEB,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
SH3BGRL,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
SNRPB,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
SPTAN1,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
TCF3,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
WHSC1,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
ABCF1,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
BTG3,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
CD99,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
CSE1L,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
DARS,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
DHX15,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
ENY2,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
ESD,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
FANCI,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
FGFBP3,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
GNL3,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
GPCPD1,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
HSPB1,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
ITGB1,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
MCM3,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
MYL12B,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
NDUFB3,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
NHSL1,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
NPAS3,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
PTPRG,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
PUF60,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
RGPD5,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
ROBO2,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
TRIM9,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
UQCRC1,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
YTHDF2,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
ZNF609,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
HIPK2,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
HBS1L,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
IPO7,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
RPS3AP5,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
LARP7,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
CYCS,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
ADH5,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
AHI1,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
CCT4,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
CENPF,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
CNTLN,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
DCP2,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
FKBP9,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
GLUD1,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
HAT1,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
IGF2BP2,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
MOB1A,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
NDUFB4,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
NDUFC1,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
PSME1,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
SEC61B,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
SHROOM3,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
SMARCE1,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
SSRP1,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
NUP214,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
SNRPD3,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
ADD2,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
ALYREF,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
ATXN2,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
CTDSPL2,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
FAM110B,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
FOXN2,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
FSTL1,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
GINS2,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
HADHA,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
KIAA0101,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
LSM14A,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
PA2G4,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
PAXBP1,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
PDHB,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
PDLIM3,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
ROCK2,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
RPL7AP6,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
SOX5,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
SUZ12,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
UBE2G2,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
BICD1,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
AFMID,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
ARL3,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
C8orf4,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
CDO1,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
CENPK,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
CRMP1,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
DDX46,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
DUSP10,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
H1F0,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
IMPDH2,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
NUSAP1,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
PELI2,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
PHGDH,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
PHPT1,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
RP11.553L6.5,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
SMAD2,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
SNX6,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
NDUFA3,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
CSNK2A1,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
AC120042.1,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
ATF4,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
CEP170,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
CKS2,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
COX7B,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
FANCD2,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
GAPDHP1,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
GJC1,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
MEGF10,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
NFIC,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
PCMTD2,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
SOAT1,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
SPARC,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
TPP2,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
SMC5,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
SMURF2,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
CPNE3,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
BAI3,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
BTG1,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
EEF1D,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
LIMCH1,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
MAPK1,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
PEG3,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
RPA2,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
TFDP2,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
TMX1,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
TRIM59,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
WEE1,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
YWHAH,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
CLNS1A,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
CEP95,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
MSH2,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
PALLD,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
PGAP1,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
PIK3C2A,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
PTPRF,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
RBMXL1,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
RPS27L,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
SLC12A2,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
SLC1A2,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
TTYH1,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
XRCC6,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
EXOSC6,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
ANKRD17,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
ACAT2,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
ANAPC11,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
ARF4,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
BSG,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
CDCA7,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
ETV1,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
FAM133B,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
FDPS,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
HN1,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
IPO9,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
PLAGL1,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
YME1L1,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
H2AFY,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
ATAD2,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
COA1,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
DENND1A,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
HIF1A,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
HNRNPF,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
HSPA5,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
MN1,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
NBPF1,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
PTGFRN,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
RUFY2,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
SALL3,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
SHISA2,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
TMEM98,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
ALDH6A1,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
CEP57,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
CHP1,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
CNP,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
DCAKD,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
JAM2,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
MDK,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
MLLT10,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
MPDZ,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
NBPF10,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
NIPBL,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
POU3F2,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
RND3,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
SFXN1,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
SLC25A5,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
TP53,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
TTYH3,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
WBP5,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
ZC3H13,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
ZNF286A,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
SSBP1,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
PTP4A2,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
CALR,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
CALD1,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
DPYSL3,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
F3,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
GTF2IP1,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
IP6K2,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
IQGAP2,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
MSH6,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
NDUFA11,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
NUP155,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
OAZ1,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
PFN1,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
PTPLAD1,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
RBX1,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
SLITRK2,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
SMC1A,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
XPO1,RG-div2,kriegstein,RG-div2_kriegstein,radial_glia,precursor
