gene,cluster,study,cluster_study,class,timing
CXCL8,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
CCL4L1,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
PPT1,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
CCL3,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
RGS1,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
FOLR2,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
SRGN,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
CALR,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
CCL3L3,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
IL1B,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
MMRN1,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
HSPA1A,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
SPP1,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
SOD2,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
AC006129.1,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
CTSB,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
MST4,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
CAPZB,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
C1QB,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
FPR1,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
NEAT1,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
TNFRSF1B,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
C1QC,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
HSPA1B,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
MRC1,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
FTLP3,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
RHBDF2,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
PLXDC2,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
BHLHE41,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
C3,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
FTH1,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
EGR3,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
CX3CR1,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
ALOX5AP,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
HSP90B1,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
DUSP1,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
H3F3B,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
JUNB,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
HSP90AA1,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
ICAM1,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
FOSB,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
LSM14A,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
PMAIP1,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
